State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9005,John J. Quinn,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9006,Christopher Reffkin,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #279),0279,9001,YES,,,NP,0,6,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #279),0279,9002,NO,,,NP,0,6,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #280),0280,9001,YES,,,NP,0,14,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #280),0280,9002,NO,,,NP,0,14,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #280),0280,9001,YES,,,NP,0,14,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #280),0280,9002,NO,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9001,Paula Cole,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9002,Ken Liss,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9003,Kirk R Spencer,,,NP,0,14,0,0.00,0
MN,,,5000,School Board Member (ISD #280) (Elect 3),0280,9901,WRITE-IN,,,WI,0,14,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #282),0282,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #282),0282,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #282),0282,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #282),0282,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9001,Ben Phillip,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9002,Eric Sonnenberg,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9003,Cassandra Palmer,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9004,Laurel Hood,,,NP,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #282) (Elect 3),0282,9901,WRITE-IN,,,WI,0,4,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9001,C. Colin Cox,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9002,Virginia Mancini,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9003,Saul Eugene,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9004,Celia Anderson,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9005,Taylor Williams,,,NP,0,15,0,0.00,0
MN,,,5000,School Board Member (ISD #283) (Elect 4),0283,9901,WRITE-IN,,,WI,0,15,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #284),0284,9001,YES,,,NP,0,10,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #284),0284,9002,NO,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9001,Paras Bhende,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9002,Dan Ginestra,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9003,Alex Rudich,,,NP,0,10,0,0.00,0
MN,,,5000,School Board Member (ISD #284) (Elect 4),0284,9004,Sheila Prior,,,NP,0,10,0,0.00,0
